职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接,市,关键字,最低工资,最高工资
算法工程师,1.5万-3万 · 14薪,滨江,经验不限,本科,视觉图像算法、自然语言处理、推荐算法、机器人算法、视频算法、搜索算法、语音算法、PyTorch、TensorFlow、Python,外企德科,http://jobs.zhaopin.com/CC138117190J40506310005.htm?refcode=4019&srccode=401901&preactionid=8efd6d24-a32d-4519-b813-495e51a7f962,杭州,python,17500.0,35000.0
生信工程师,1万-1.3万,滨江,经验不限,硕士,基因组学、R语言、Perl、C语言、Python,杭州立效生物医药科技有限公司,http://jobs.zhaopin.com/CC276763230J40460479811.htm?refcode=4019&srccode=401901&preactionid=8efd6d24-a32d-4519-b813-495e51a7f962,杭州,python,10000.0,13000.0
数据分析师,150-200/天,上城,经验不限,本科,Python、MATLAB、Stata、机器学习、深度学习、金融数据分析,杭州弈宸私募基金管理有限公司,http://jobs.zhaopin.com/CC484336530J40496446116.htm?refcode=4019&srccode=401901&preactionid=8efd6d24-a32d-4519-b813-495e51a7f962,杭州,python,3262.5,4350.0
软件算法工程师-极端光学技术与仪器研究院,8千-1.6万,萧山,经验不限,本科,C++、Python、C语言、Git、QT,浙江大学杭州国际科创中心,http://jobs.zhaopin.com/CCL1242292110J40434495104.htm?refcode=4019&srccode=401901&preactionid=8efd6d24-a32d-4519-b813-495e51a7f962,杭州,python,8000.0,16000.0
软件测试工程师（外包互联网大厂+有英语基础优先）,1.1万-1.2万,余杭,3-5年,大专,功能测试、自动化测试、Java、Python,郑州易宝软件科技有限公司,http://jobs.zhaopin.com/CC525176730J40522469908.htm?refcode=4019&srccode=401901&preactionid=8efd6d24-a32d-4519-b813-495e51a7f962,杭州,python,11000.0,12000.0
大数据运维工程师,1.3万-2万,西湖,3-5年,本科,Hadoop、Spark、Java、Python,杭州中港科技有限公司,http://jobs.zhaopin.com/CC660549420J40499751105.htm?refcode=4019&srccode=401901&preactionid=8efd6d24-a32d-4519-b813-495e51a7f962,杭州,python,13000.0,20000.0
软件开发工程师（城市多、岗位多）,1.5万-3万,滨江,1-3年,本科,后端开发、WEB开发、全栈开发、SpringCloud、Java、Python、JavaScript、Shell,外企德科,http://jobs.zhaopin.com/CC138117190J40409289905.htm?refcode=4019&srccode=401901&preactionid=8efd6d24-a32d-4519-b813-495e51a7f962,杭州,python,15000.0,30000.0
先进控制工程师,1.2万-2万 · 13薪,上城,3-5年,本科,APC、Python,杭州兰亮网络科技有限公司,http://jobs.zhaopin.com/CC277750880J40452877006.htm?refcode=4019&srccode=401901&preactionid=8efd6d24-a32d-4519-b813-495e51a7f962,杭州,python,13000.0,21666.666666666668
ETL工程师,1.6万-1.9万,萧山,3-5年,本科,银监报送,北京开科唯识技术股份有限公司深圳分公司,http://jobs.zhaopin.com/CC585923020J40501586203.htm?refcode=4019&srccode=401901&preactionid=8efd6d24-a32d-4519-b813-495e51a7f962,杭州,python,16000.0,19000.0
初级java开发工程师,1.2万-2.4万,滨江,经验不限,本科,后端开发、Java、Python、HTML5、全栈开发、WEB开发、SpringBoot、JavaScript,外企德科,http://jobs.zhaopin.com/CC138117190J40321730905.htm?refcode=4019&srccode=401901&preactionid=8efd6d24-a32d-4519-b813-495e51a7f962,杭州,python,12000.0,24000.0
